ingredients,instructions,link,title
"2 bananas, mashed~¼ cup milk~1 egg, beaten~1 teaspoon honey~½ teaspoon vanilla extract~1 cup oats~1 teaspoon ground cinnamon~½ teaspoon baking powder~⅛ teaspoon salt","Step 1   Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper.    ~Step 2   Mix mashed bananas, milk, egg, honey, and vanilla extract together in a bowl. Stir in oats, cinnamon, baking powder, and salt.~Step 3   Spoon batter into mounds on the baking sheet, spacing them a few inches apart.~Step 4   Bake in the preheated oven until top looks dry and edges are golden, about 15 minutes.",https://www.allrecipes.com/recipe/254832/clean-banana-oat-cookies/,Clean Banana Oat Cookies
"6 boneless pork chops~¼ cup brown sugar~1 teaspoon ground ginger~½ cup soy sauce~¼ cup ketchup~2 cloves garlic, crushed~salt and pepper to taste","Step 1   Place pork chops in slow cooker. Combine remaining ingredients and pour over pork chops.    ~Step 2   Cook on Low setting for 6 hours, until internal temperature of pork has reached 145 degrees F (63 degrees C).",https://www.allrecipes.com/recipe/25150/pork-chops-for-the-slow-cooker/,Pork Chops for the Slow Cooker
"½ cup ketchup~¼ cup brown sugar~2 tablespoons cider vinegar~cooking spray~1 onion, chopped~½ green bell pepper, chopped~2 cloves garlic, minced~2 large eggs, lightly beaten~1 teaspoon dried thyme~1 teaspoon seasoned salt~½ teaspoon ground black pepper~2 teaspoons prepared mustard~2 teaspoons Worcestershire sauce~½ teaspoon hot pepper sauce (such as Tabasco®)~½ cup milk~⅔ cup quick cooking oats~1 pound ground beef~½ pound ground pork~½ pound ground veal","Step 1   Combine ketchup, brown sugar, and cider vinegar in a bowl; mix well.    ~Step 2   Preheat oven to 350 degrees F (175 degrees C). Spray two 9x5-inch loaf pans with cooking spray or line with aluminum foil for easier cleanup (see Cook's Note).~Step 3   Place onion and green pepper in covered microwave container and cook until softened, 1 to 2 minutes. Set aside to cool.~Step 4   In large mixing bowl, combine garlic, eggs, thyme, seasoned salt, black pepper, mustard, Worcestershire sauce, hot sauce, milk, and oats. Mix well. Stir in cooked onion and green pepper. Add ground beef, pork, and veal. With gloved hands, work all ingredients together until completely mixed and uniform.~Step 5   Divide meatloaf mixture in half and pat half of mixture into each prepared loaf pan. Brush loaves with half of the glaze; set remainder of glaze aside.~Step 6   Bake in preheated oven for 50 minutes. Remove pans from oven; carefully drain fat. Brush loaves with remaining glaze. Return to oven and bake for 10 minutes more. Remove pans from oven and allow meatloaf to stand for 15 minutes before slicing.",https://www.allrecipes.com/recipe/232247/tennessee-meatloaf/,Tennessee Meatloaf
1 (12 ounce) package egg noodles~1 pound ground beef~1 teaspoon Greek seasoning (such as Cavender's®)~salt and ground black pepper to taste~1 teaspoon vegetable oil~1 (16 ounce) package sliced fresh mushrooms~1 pint sour cream,"Step 1   Bring a large pot of lightly salted water to a boil. Cook egg noodles in the boiling water, stirring occasionally, until cooked through but firm to the bite, about 5 minutes; drain.    ~Step 2   Heat a large skillet over medium-high heat. Cook and stir beef in the hot skillet until browned and crumbly, 5 to 7 minutes; drain and discard grease. Season beef with Greek seasoning, salt, and pepper.~Step 3   Heat vegetable oil in a separate skillet over medium heat. Cook and stir mushrooms in hot oil until tender, about 5 minutes; add to ground beef.~Step 4   Stir sour cream into ground beef mixture; cook and stir until hot, about 5 minutes. Serve over egg noodles.",https://www.allrecipes.com/recipe/234799/poor-mans-stroganoff/,Poor Man's Stroganoff
"2 cups butter, softened~1 cup white sugar~2 teaspoons vanilla extract~4 cups all-purpose flour",Step 1   Preheat oven to 350 degrees F (180 degrees C).    ~Step 2   Cream butter and sugar until fluffy. Stir in vanilla; add flour and mix well.~Step 3   Put through cookie press and form cookies onto baking sheets. Bake for 10 - 12 minutes.,https://www.allrecipes.com/recipe/10269/shortbread-cookies-ii/,Shortbread Cookies II
"1 pound lean ground beef~1 tablespoon olive oil~1 carrot, diced~1 stalk celery, diced~1 thin slice onion, diced~1 teaspoon minced garlic~1 (32 ounce) bottle tomato-vegetable juice cocktail (such as V8®)~1 (14 ounce) can chicken broth~1 tablespoon dried parsley~1 tablespoon dried basil~1 teaspoon dried oregano~freshly ground black pepper to taste~1 ½ cups ditalini pasta~1 (15 ounce) can cannellini beans, drained and rinsed","Step 1   Heat a large skillet over medium-high heat. Cook and stir beef in the hot skillet until browned and crumbly, 5 to 7 minutes; drain and discard grease.    ~Step 2   Heat olive oil in a large saucepan over medium-high heat; saute carrot, celery, and onion until softened, 5 to 10 minutes. Add garlic and saute until fragrant, 1 to 2 minutes. Stir vegetable juice cocktail, chicken broth, parsley, basil, oregano, and black pepper into vegetable mixture; bring to a boil. Reduce heat and simmer soup for 20 minutes.~Step 3   Bring a large pot of lightly salted water to a boil. Cook ditalini pasta in the boiling water, stirring occasionally until cooked through but firm to the bite, 8 minutes. Drain.~Step 4   Stir cannellini beans and ground beef into soup; cook and stir until soup is heated through, about 10 minutes.~Step 5   Spoon about 1/3 cup pasta into each serving bowl; ladle soup over pasta.",https://www.allrecipes.com/recipe/238014/memes-pasta-fagioli/,MeMe's Pasta Fagioli
"1 pound fresh mushrooms~7 ounces crabmeat~5 green onions, thinly sliced~¼ teaspoon dried thyme~¼ teaspoon dried oregano~¼ teaspoon ground savory~ground black pepper to taste~¼ cup grated Parmesan cheese~⅓ cup mayonnaise~3 tablespoons grated Parmesan cheese~¼ teaspoon paprika","Step 1   Preheat the oven to 350 degrees F (175 degrees C).    ~Step 2   In a medium bowl, combine crabmeat, green onions, herbs, and pepper. Mix in mayonnaise and 1/4 cup Parmesan cheese until well combined. Refrigerate filling until ready for use.~Step 3   Wipe the mushrooms clean with a damp towel. Remove stems. Spoon out the gills and the base of the stem, making deep cups. Discard gills and stems. Fill the mushroom caps with rounded teaspoonfuls of filling, and place them in an ungreased shallow baking dish. Sprinkle tops with Parmesan and paprika.~Step 4   Bake for 15 minutes. Remove from oven, and serve immediately",https://www.allrecipes.com/recipe/12751/crab-stuffed-mushrooms/,Crab Stuffed Mushrooms
"1 ½ cups peanut butter~1 cup butter, softened~½ teaspoon vanilla extract~6 cups confectioners' sugar~4 cups semisweet chocolate chips","Step 1   In a large bowl, mix together the peanut butter, butter, vanilla and confectioners' sugar. The dough will look dry. Roll into 1 inch balls and place on a waxed paper-lined cookie sheet.    ~Step 2   Press a toothpick into the top of each ball (to be used later as the handle for dipping) and chill in freezer until firm, about 30 minutes.~Step 3   Melt chocolate chips in a double boiler or in a bowl set over a pan of barely simmering water. Stir frequently until smooth.~Step 4   Dip frozen peanut butter balls in chocolate holding onto the toothpick. Leave a small portion of peanut butter showing at the top to make them look like Buckeyes. Put back on the cookie sheet and refrigerate until serving.",https://www.allrecipes.com/recipe/9909/buckeyes-i/,Buckeyes I
1 cup peanut butter~½ cup low-calorie natural sweetener (such as Swerve®)~1 egg~1 teaspoon sugar-free vanilla extract,"Step 1   Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper.    ~Step 2   Combine peanut butter, sweetener, egg, and vanilla extract in a bowl; mix well until a dough is formed.~Step 3   Roll dough into 1-inch balls. Place on the prepared baking sheet and press down twice with a fork in a criss-cross pattern.~Step 4   Bake in the the preheated oven until edges are golden, 12 to 15 minutes. Cool on the baking sheet for 1 minute before removing to a wire rack to cool completely.",https://www.allrecipes.com/recipe/261181/4-ingredient-keto-peanut-butter-cookies/,4-Ingredient Keto Peanut Butter Cookies
"1 ¾ cups all-purpose flour~½ teaspoon salt~1 teaspoon baking soda~½ cup butter, softened~½ cup white sugar~½ cup peanut butter~½ cup packed brown sugar~1 egg, beaten~1 teaspoon vanilla extract~2 tablespoons milk~40 miniature chocolate covered peanut butter cups, unwrapped","Step 1   Preheat oven to 375 degrees F (190 degrees C). Sift together the flour, salt and baking soda; set aside.    ~Step 2   Cream together the butter, sugar, peanut butter and brown sugar until fluffy. Beat in the egg, vanilla and milk. Add the flour mixture; mix well. Shape into 40 balls and place each into an ungreased mini muffin pan.~Step 3   Bake at 375 degrees for about 8 minutes. Remove from oven and immediately press a mini peanut butter cup into each ball. Cool and carefully remove from pan.",https://www.allrecipes.com/recipe/9471/peanut-butter-cup-cookies/,Peanut Butter Cup Cookies
"½ cup butter~1 (16 ounce) package miniature marshmallows~2 tablespoons bourbon~1 teaspoon salt~1 cup cake mix with candy bits (such as Pillsbury® Funfetti®)~5 cups crispy rice cereal (such as Rice Krispies®), divided~2 cups fruit-flavored breakfast cereal (such as Post® Fruity Pebbles®), divided~1 pinch sea salt","Step 1   Line a 9x13-inch cake pan with parchment paper.    ~Step 2   Melt butter in a large pot over medium-low heat, cooking and stirring until butter is golden brown and smells nutty, 3 to 4 minutes. Stir marshmallows into brown butter and cook until melted, 2 to 3 minutes. Add bourbon and 1 teaspoon salt; stir until incorporated. Mix cake mix into marshmallow mixture until dissolved; remove pot from heat.~Step 3   Mix 1/2 the rice cereal and 1/2 the fruit-flavored cereal into marshmallow mixture until evenly coated. Mix remaining rice cereal and fruit-flavored cereal into marshmallow-cereal mixture; press into the prepared baking dish. Sprinkle sea salt over the top.",https://www.allrecipes.com/recipe/237376/funfetti-cake-batter-rice-krispies-treats/,Funfetti® Cake Batter Rice Krispies® Treats
"1 cup cornmeal~3 cups all-purpose flour~1 ⅓ cups white sugar~2 tablespoons baking powder~1 teaspoon salt~⅔ cup vegetable oil~⅓ cup melted butter~2 tablespoons honey~4 eggs, beaten~2 ½ cups whole milk","Step 1   Preheat oven to 350 degrees F (175 degrees C), and grease a 9x13 inch baking dish.    ~Step 2   Stir together the cornmeal, flour, sugar, baking powder, and salt in a mixing bowl. Pour in the vegetable oil, melted butter, honey, beaten eggs, and milk, and stir just to moisten.~Step 3   Pour the batter into the prepared baking dish and bake in the preheated oven for 45 minutes, until the top of the cornbread starts to brown and show cracks.",https://www.allrecipes.com/recipe/146572/sweet-cornbread-cake/,Sweet Cornbread Cake
1 (21 ounce) can apple pie filling~½ cup cinnamon sugar~15 (6 inch) flour tortillas~oil for frying,"Step 1   Heat apple pie filling in a small pot over medium-low heat until warmed through, about 5 minutes.    ~Step 2   Place cinnamon sugar in a shallow dish.~Step 3   Spoon 1 1/2 tablespoons of filling onto each tortilla. Fold in opposing edges and roll up as you would a burrito.~Step 4   Heat oil in a large, deep saucepan over medium heat.~Step 5   Place a batch of rolled tortillas seam-side down in the hot oil and fry until browned and crispy, 1 to 2 minutes. Turn and continue frying until all sides are browned, 1 to 2 minutes more. Roll in cinnamon sugar to coat. Repeat with remaining batches.",https://www.allrecipes.com/recipe/246853/apple-cinnamon-chimichangas/,Apple Cinnamon Chimichangas
"1 (16 ounce) package spaghetti~1 pound ground beef~1 onion, chopped~1 (32 ounce) jar meatless spaghetti sauce~½ teaspoon seasoned salt~2 eggs~⅓ cup grated Parmesan cheese~5 tablespoons butter, melted~2 cups small curd cottage cheese, divided~5 cups shredded mozzarella cheese, divided","Step 1   Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 9x13-inch baking dish.    ~Step 2   Bring a large pot of lightly salted water to a boil. Cook spaghetti in boiling water, stirring occasionally until cooked through but firm to the bite, about 12 minutes. Drain.~Step 3   Heat a large skillet over medium heat; cook and stir beef and onion until meat is browned and onion is soft and translucent, about 7 minutes. Drain. Stir in spaghetti sauce and seasoned salt.~Step 4   Whisk eggs, Parmesan, and butter in a large bowl. Add spaghetti and toss to coat.~Step 5   Place 1/2 of the spaghetti mixture in the prepared dish. Top with 1/2 of the cottage cheese, 2 cups mozzarella, and 1/2 of the meat sauce. Repeat layers. Cover with aluminum foil.~Step 6   Bake in preheated oven for 40 minutes. Remove foil and sprinkle with the remaining mozzarella. Continue to bake until the cheese is melted and lightly browned, 20 to 25 minutes longer.",https://www.allrecipes.com/recipe/222582/baked-spaghetti/,Baked Spaghetti
"4 pounds chuck roast~salt and pepper to taste~1 packet dry onion soup mix~1 cup water~3 carrots, chopped~1 onion, chopped~3 potatoes, peeled and cubed~1 stalk celery, chopped","Step 1   Season the roast with salt and pepper to taste. Brown on all sides in a large skillet over high heat, about 4 minutes per side.    ~Step 2   Place the roast in the slow cooker and add the soup mix, water, carrots, onion, potatoes, and celery.~Step 3   Cover and cook on Low setting for 8 to 10 hours.",https://www.allrecipes.com/recipe/16346/maries-easy-slow-cooker-pot-roast/,Marie's Easy Slow Cooker Pot Roast
"2 tablespoons butter~2 tablespoons extra-virgin olive oil~1 large onion, chopped~5 large Yukon Gold potatoes, peeled and cut into 1/4-inch cubes~1 large carrot, coarsely shredded~2 pounds cooked corned beef, cubed~2 tablespoons chopped fresh parsley~¼ teaspoon dried thyme leaves~1 pinch salt to taste~½ teaspoon ground black pepper, or to taste","Step 1   Melt butter with the olive oil in a large skillet over medium heat, and cook the onion just until it begins to brown, about 8 minutes; stir in the potatoes and carrot, and cook until tender, about 15 minutes, stirring occasionally. Stir in the cubed corned beef, parsley, thyme, salt, and pepper. Let the mixture cook until hash is crisp and browned, stirring often, 10 to 15 more minutes.    ",https://www.allrecipes.com/recipe/216981/deluxe-corned-beef-hash/,Deluxe Corned Beef Hash
